dataset,accuracy,f1,roc_auc
Adult Income,0.8532908123480706,0.8476130991726739,0.9035722444890971
German Credit,0.6930043816271362,0.6840055762624538,0.7081611092769892
COMPAS,,,0.2469777528747726
Bank Marketing,,,2.073457201713443
